,C3N-00439,C3L-01955,C3L-01962,C3N-02818,C3N-01803,C3N-00243,C3N-02261,C3N-01903,C3N-00496,C3N-03021,C3L-01279,C3N-01650,C3L-01865,C3L-02212,C3N-01653,C3N-02440,C3N-00958,C3N-01652,C3L-02210
SEC11A,0.41,0.04,0.35,0.31,0.97,-0.03,0,0.3,0,0.25,-0.02,0.32,0.19,0.15,0.14,0.24,0.36,0.13,0.58
SEC11C,-0.06,-0.19,-0.08,-0.06,0.04,-0.27,-0.07,-0.18,-0.15,-0.42,-0.36,0.17,-0.12,0.02,-0.25,-0.17,0.78,-0.19,-0.03
SEC13,0.06,0.13,0.21,0.1,0.14,0.01,0.05,-0.05,0.02,0.01,0.08,-0.03,-0.02,0.17,-0.06,0.02,0.16,0.05,0.07
SEC14L1,-0.02,-0.22,NA,-0.31,-0.45,-0.37,-0.35,-0.02,0.02,-0.08,NA,-0.22,NA,-0.23,-0.38,-0.03,-0.09,-0.31,0.01
SEC14L2,-0.12,-0.45,-0.19,-0.5,0.02,-0.36,-0.39,-0.16,-0.2,-0.11,-0.43,-0.83,-0.27,0.21,-0.7,-0.56,-0.4,0.04,-0.56
SEC16A,0.15,0.11,0.18,0.05,-0.05,0.07,0,0.08,0.09,-0.11,0.07,-0.06,0.09,0.04,0.01,0.05,0.06,0.04,-0.03
SEC22A,0.07,-0.08,NA,0.34,NA,-0.27,-0.36,0.66,-0.15,-0.15,NA,-0.15,NA,-0.27,-0.15,0.22,NA,-0.07,-0.1
SEC22B,0.09,-0.02,-0.01,0.08,0,0.04,0.02,0.11,-0.23,0.19,-0.23,-0.27,-0.03,-0.04,-0.08,0.15,-0.03,0.03,-0.12
SEC23A,0.16,-0.11,0.11,0.17,0.02,0.02,-0.06,-0.04,-0.04,-0.13,-0.14,0.09,-0.04,-0.12,-0.31,-0.12,0.12,0.03,-0.05
SEC23B,-0.08,0.01,-0.2,-0.08,-0.03,-0.13,-0.09,-0.15,0.09,0.14,0.05,-0.16,-0.02,0.03,0.06,0.04,0.02,-0.31,-0.08
SEC23IP,0.11,0.16,0.12,0.01,-0.08,0.12,0.15,-0.04,0.01,-0.08,0.03,-0.04,-0.03,0.13,-0.24,-0.02,0.14,0.08,-0.19
SEC24A,-0.08,-0.05,-0.05,-0.24,-0.27,-0.18,-0.22,-0.22,-0.15,-0.21,-0.33,-0.21,-0.24,-0.22,-0.32,-0.3,-0.07,-0.07,-0.36
SEC24B,0.16,0.08,0.08,-0.04,0.13,0.11,-0.01,0.11,0.04,0.07,0.05,0.07,0.13,-0.03,0,-0.01,0.07,0.05,-0.03
SEC24C,0.2,0.05,0.13,0.02,-0.13,0.07,0.04,0.07,0.11,0.12,-0.09,-0.15,-0.01,0.06,-0.08,-0.03,0.14,0.05,-0.2
SEC24D,-0.63,-0.71,-0.42,-0.08,0.3,-0.46,-0.47,-0.82,-0.3,-0.36,-0.29,0.08,-0.57,-0.28,-0.26,-0.59,-0.13,-0.36,0.32
SEC31A,0.18,0.19,0.33,0.08,-0.05,0.07,0.1,0.05,0.16,0,0.05,0.04,0.13,0.16,-0.23,0.15,0.09,0.18,-0.04
SEC61A1,0.15,0.11,0.26,0.03,0.42,0.01,0.12,0.18,-0.22,-0.02,-0.36,0.06,0.17,0.08,0.01,0.09,0.3,0.01,0.21
SEC61B,0.23,-0.11,-0.02,0.56,0.76,0.2,0.08,0.16,-0.63,0.02,-0.03,0.31,0.59,0.08,0.11,0.24,0.43,-0.08,-0.04
SEC62,0.12,0.16,0.23,0.28,0.27,0.32,0.33,0.26,-0.16,-0.08,-0.19,-0.05,0.18,0.13,0.21,0.33,0.25,0.39,-0.02
SEC63,0.03,-0.13,0.03,-0.02,0.15,-0.1,-0.07,-0.04,-0.28,-0.23,-0.33,-0.07,0.04,0.08,-0.12,-0.01,0.09,-0.01,-0.05
SECISBP2L,-0.12,0.63,0.69,0.34,0.24,0.27,0.4,0.37,0.01,-0.27,0.62,0.24,0.75,0.78,0.51,0.18,-0.11,0.68,0.37
SEH1L,0.15,0.01,0.09,-0.06,-0.01,-0.23,-0.15,0.07,-0.05,0.2,0.06,0.16,-0.01,0.04,-0.01,0.13,-0.05,-0.25,0.11
SEL1L,-0.09,0.05,0.15,0.11,0.17,-0.29,-0.37,0.05,-0.17,-0.14,-0.22,0.28,0.18,0.06,-0.03,0.01,0.11,-0.25,0.41
SELENBP1,0.51,0.38,0.48,0.13,-0.3,0.66,0.55,0.64,0.25,0.81,0.55,0.45,0.53,0.41,0.57,0.32,0.36,0.79,-0.42
SELENOF,0.16,-0.05,0.11,-0.07,0.52,0,-0.14,-0.31,-0.17,-0.35,-0.03,-0.19,0.08,-0.13,-0.18,-0.12,0.32,0.06,0.04
SELENOH,-0.2,0.11,-0.18,-0.07,-0.12,-0.21,-0.24,-0.16,-0.38,-0.43,0.07,0.21,-0.43,-0.13,-0.29,-0.11,0.05,-0.25,0.38
SELENOK,1.23,0.11,0.53,1.96,0.21,0.83,1.01,1.91,1.18,0.47,0.23,1.02,0.9,0.02,1.05,1.85,0.56,0.84,0.04
SELENOM,-0.25,-0.36,-0.19,0,0.5,0.13,0,-0.32,-0.37,-0.65,0.29,0.36,-0.16,-0.33,0.15,-0.3,-0.19,0.04,0.23
SELENOO,0.96,1.11,0.94,0.59,-0.27,0.83,0.65,0.9,0.52,0.79,0.19,-0.55,0.87,0.66,-0.02,0.69,0.8,0.79,-0.64
SELENOP,-0.62,0.43,0.46,0.27,0.22,0.47,-0.12,0.03,-0.48,-0.67,0.65,0.31,0.24,0.61,-0.28,-0.13,0.62,-0.31,0.21
SELENOS,NA,NA,0.02,NA,NA,-0.2,0.05,NA,NA,NA,-0.08,0.25,-0.01,NA,0.21,NA,NA,-0.05,NA
SELENOT,NA,0.27,0.66,NA,NA,-0.43,-0.29,NA,NA,NA,-0.07,-0.76,0.11,-0.01,-0.42,NA,NA,-0.56,0.19
SELENOW,-0.05,0.18,-0.02,-0.1,0.01,0.23,-0.12,-0.01,-0.36,-0.34,0.27,-0.19,0.09,-0.09,-0.54,0.04,-0.04,-0.14,0.08
SELL,-1.06,NA,-1.17,-0.6,0.35,-0.22,-0.12,-0.68,0.25,0.2,-0.11,0.34,-1.1,NA,0.02,-1.08,0.19,-0.82,NA
SEMA3B,0.03,NA,-0.2,0.53,-0.23,0.28,0.18,0.69,0.19,0.68,1.01,0.11,1.47,NA,-0.15,1.2,0.31,0.28,NA
SEMA3C,0.26,-0.1,NA,-0.17,1.01,-0.01,-0.29,-0.05,0.17,0.16,NA,0.02,NA,-0.11,0.32,-0.25,0.39,-0.26,0.65
SEMA4B,-0.38,-0.14,-0.2,-0.53,0.09,-0.18,-0.29,-0.6,-0.26,-0.09,-0.36,-0.28,-0.18,-0.11,0.08,-0.43,-0.22,-0.48,-0.13
SEMA4D,0.54,3.12,0.32,0.4,0.44,0.12,0.21,0.47,0.54,0.54,0.06,0.24,0.49,3.03,0.51,0.33,0.61,0.08,2.85
SEMA5A,NA,0.67,0.94,0.74,0.37,-0.42,-0.44,0.64,NA,NA,0.4,1.26,0.74,0.96,-1.05,0.62,0.73,0.26,0.4
SENP3,-0.67,-0.32,-0.17,-2.49,0.04,-0.22,-0.17,-0.33,-0.32,-0.56,0.02,-0.01,-0.03,-0.27,-0.05,-0.09,-0.28,-0.32,0.07
SENP6,NA,-0.38,NA,0.6,-1.06,NA,NA,0.3,NA,NA,NA,0.3,NA,-0.22,-0.03,0.58,-0.99,NA,-0.54
SENP7,0.32,-0.02,NA,0.17,-0.37,0.18,0.15,-0.33,0.57,0.42,NA,0.11,NA,-0.3,-0.05,-0.12,-0.62,0.36,0.13
SENP8,-0.06,0.06,-0.23,-0.01,-0.09,0.04,0.23,0.31,0.12,-0.41,0.15,-0.46,-0.08,0.11,0.23,0.36,-0.16,0.01,-0.48
SEPHS1,0.12,0.08,-0.02,-0.17,0.07,0.06,0.05,-0.17,0.05,-0.14,0.06,-0.03,-0.09,-0.05,-0.05,-0.11,-0.14,-0.02,0.09
SEPHS2,0.25,0.17,0.42,0.15,-0.34,0.35,0.47,0.53,0.27,0.11,0.03,-0.53,0.11,0.1,-0.14,0.46,0.26,0.39,-0.94
SEPSECS,0.2,0.17,0.21,-0.08,-0.39,0.12,0,0.21,0.01,0.05,-0.29,-0.83,0.23,0.05,-0.42,0.15,0.31,0.19,-0.77
SEPTIN1,-0.97,-1.4,-0.31,0.15,0.19,-0.6,-0.77,-0.81,-0.64,-0.87,-0.37,1.36,-0.64,-0.48,-2.3,-0.73,-0.55,-0.86,1.3
SEPTIN10,-0.26,-0.22,-0.3,-0.08,-0.01,-0.19,0,-0.28,-0.12,0.05,0.16,0.34,-0.17,0.1,0.1,-0.26,-0.2,-0.01,0.25
SEPTIN11,-0.09,-0.28,-0.28,0.05,-0.14,-0.1,-0.07,-0.22,-0.24,-0.12,0.05,0.24,-0.31,-0.06,0.05,-0.03,-0.2,-0.17,0.18
SEPTIN2,-0.19,-0.22,-0.23,-0.03,0.12,-0.15,-0.02,-0.17,-0.19,-0.09,0.05,0.42,-0.21,-0.06,0.15,-0.15,-0.04,-0.06,0.37
SEPTIN3,-0.69,-0.68,-0.27,-0.48,0.01,NA,NA,-0.23,0.39,-0.1,-0.19,0.28,-0.46,0.22,-0.14,-0.83,-0.04,NA,-0.12
SEPTIN4,-0.04,0.09,0.07,0.27,0.16,-0.2,-0.28,-0.33,0,0.25,0.33,0.78,-0.09,0.18,-0.21,-0.03,-0.21,0.19,0.71
SEPTIN5,-0.64,-0.5,-0.5,-0.09,-0.31,-0.58,-0.62,-0.21,-0.88,-0.68,-0.16,0.26,-0.26,-0.28,-0.41,-0.41,-0.59,-0.55,0.14
SEPTIN6,-0.59,-0.48,-0.28,0.04,0.33,-0.41,0.13,-0.35,0.02,-0.16,0.29,0.5,-0.48,-0.03,0.08,-0.06,-0.23,-0.55,0.54
SEPTIN7,-0.32,-0.29,-0.31,-0.15,0.07,-0.34,-0.28,-0.48,-0.31,-0.27,-0.05,0.41,-0.43,-0.14,-0.02,-0.29,-0.36,-0.37,0.29
SEPTIN8,-0.63,-0.47,-0.59,-0.42,-0.29,-0.66,-0.69,-0.93,-0.59,-0.48,-0.16,0.18,-0.76,-0.14,-0.17,-0.62,-0.79,-0.52,0.19
SEPTIN9,-0.4,-0.4,-0.38,-0.28,-0.07,-0.43,-0.35,-0.78,-0.44,-0.27,0.01,0.18,-0.48,-0.3,0.02,-0.43,-0.56,-0.32,0
SERAC1,0.57,0.77,0.76,0.09,0.59,0.45,0.47,0.34,0.77,0.14,0.11,-0.2,0.69,0.59,0.38,0.25,0.41,0.84,0.1
SERBP1,-0.22,-0.22,-0.27,-0.02,-0.01,-0.2,-0.19,-0.3,-0.23,-0.19,0.04,0.07,-0.24,-0.25,-0.04,-0.12,-0.19,-0.27,0.12
SERF2,0.37,0.18,0.01,0.1,0.3,0.33,0.53,0.01,0.28,0.39,0.25,0.61,0.15,-0.11,0.31,-0.02,-0.03,0.56,0.18
SERGEF,-0.03,0.02,-0.08,-0.12,-0.33,-0.45,-0.28,0.12,0.31,0.22,-0.09,-0.35,0,-0.11,-0.12,0.05,-0.43,-0.28,-0.22
SERINC1,0.1,0.08,0.02,-0.13,0.01,-0.04,-0.03,0.36,0.38,0,-0.35,-0.15,0.06,-0.08,0.35,0.03,0.15,0.17,-0.01
SERINC3,0.41,-0.16,NA,NA,-0.42,NA,NA,NA,0.43,0.44,NA,0.44,NA,0.2,0.16,NA,-0.08,NA,0.38
SERPINA1,-0.93,-0.93,-0.89,-0.81,0.12,-0.18,-0.62,-0.58,-0.32,0.1,0.03,0.03,-0.44,-0.31,0.31,-0.68,0.16,-0.95,-0.43
SERPINA10,-0.65,-0.97,-0.42,-0.4,0.07,-0.08,-0.07,-0.2,-0.54,-0.65,0.05,0.67,-0.05,0,0.65,-0.58,0.37,-0.29,-0.12
SERPINA3,-1.08,-1.72,-1.13,-1.24,-0.15,-0.36,-0.72,-0.72,-0.39,-0.33,-0.14,-0.18,-1.12,-0.56,0.45,-0.74,0.04,-1.19,-0.39
SERPINA4,-0.51,0.46,0.05,-0.2,0.02,0.15,0.35,-0.08,0.01,0.4,0.64,0.34,0.45,0.42,-0.58,-0.34,0.25,-0.3,0.99
SERPINA5,0.37,1.27,1.03,0.4,-0.24,0.94,0.93,0.67,0.85,1.41,0.53,0.31,0.81,0.61,-0.83,0.45,0.28,0.16,-0.06
SERPINA6,-0.63,-0.84,-1.02,-0.61,-0.02,0.01,-0.05,-0.34,0.33,0.17,-0.15,0.08,0.03,-0.03,0.15,-0.34,0.51,-0.82,-0.27
SERPINA7,-0.63,-0.9,-0.85,-0.54,0.23,-0.01,-0.27,-0.52,0.13,0.31,-0.13,-0.1,-0.02,0.04,-0.25,-0.69,0.47,-0.73,0.03
SERPINB1,-0.58,-0.54,-0.24,-0.34,-0.1,-0.33,-0.35,-0.42,-0.57,-0.1,-0.37,-0.05,-0.57,-0.37,-0.41,-0.28,-0.27,-0.35,0.12
SERPINB10,NA,NA,NA,-0.09,0.66,NA,NA,-0.51,NA,NA,NA,NA,NA,NA,NA,-0.18,0.04,NA,NA
SERPINB3,NA,-0.11,NA,NA,NA,-0.5,-0.33,NA,NA,NA,NA,NA,NA,-0.24,NA,NA,NA,-0.47,0.24
SERPINB5,NA,0.07,NA,NA,NA,-0.36,-0.44,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,0.07,0
SERPINB6,0.1,-0.04,0.03,-0.11,-0.24,0.13,0.21,0.15,-0.29,0.03,-0.23,-0.28,0.05,-0.11,-0.14,-0.04,-0.01,0.37,-0.31
SERPINB8,-0.97,-0.72,0.04,0.51,0.17,-0.34,-0.1,-0.57,-0.81,0,-0.45,0.13,-1.02,-0.43,-0.23,-0.86,-0.54,-0.28,0.99
SERPINB9,-0.22,-0.23,-0.39,0.04,0.04,-0.34,-0.31,-0.51,-0.26,0.01,-0.25,0.56,-0.33,-0.04,-0.94,-0.48,-0.67,-0.51,0.83
SERPINC1,-1.13,-0.37,-0.47,-0.41,0.19,-0.24,0.04,-0.17,-0.1,0.32,0.63,0.8,-0.16,0.14,0.86,-0.47,-0.12,-0.49,0.77
SERPIND1,-0.86,-0.23,-0.28,-0.28,-0.2,0.14,0.38,0.05,0.13,0.08,0.23,0.02,0.29,0.18,0.11,-0.23,0.81,-0.68,0.26
SERPINE1,-2.64,-2.48,-1.91,-1.96,0.08,-0.67,-0.82,-2.61,-2.01,-2.15,-2.42,-1.01,-1.87,-2.79,-0.7,-1.89,0.4,-0.86,-2.79
SERPINE2,0.26,-0.08,0.42,0.14,1.15,0.01,0.05,-0.14,0.3,-0.13,0.89,0.9,-0.23,0.62,-0.32,0.1,-0.16,0.35,0.5
SERPINF1,-0.87,0.71,0.49,-0.09,-0.03,-0.37,-0.24,-0.27,0.29,-0.53,0.26,0.24,0.04,0.22,-0.6,-0.49,0.31,-0.69,0.25
SERPINF2,-0.67,-0.3,-0.75,-0.63,-0.08,-0.03,-0.07,-0.18,0.29,0.08,-0.06,0.15,0,0.15,-0.1,-0.48,0.41,-0.66,-0.26
SERPING1,-0.54,-0.55,-0.48,-0.69,0.13,0.19,-0.03,-0.19,0.3,-0.02,0.4,0.1,0.02,-0.03,0.13,-0.5,0.52,-0.93,0.08
SERPINH1,-0.57,-0.8,-0.54,-0.3,0.09,-0.8,-0.94,-0.92,-0.57,-0.63,-0.62,-0.32,-0.86,-0.62,-0.66,-0.84,-0.47,-0.82,0.07
SERPINI1,0.23,-0.41,0.73,0.2,-0.45,0.1,-0.54,-0.34,0.67,0.19,0.1,0.16,0.06,-0.22,0.07,0.42,0.13,-0.36,-0.55
SESN1,0.18,0.27,0.42,-0.07,NA,NA,NA,0.3,0.14,0.31,0.75,-0.14,0.56,0.17,-0.11,0.05,NA,NA,-0.14
SESN2,0.07,0.51,NA,0.3,NA,-0.47,-0.36,0.28,-0.16,-0.27,NA,NA,NA,0.31,NA,0.42,NA,-0.42,-0.44
SESTD1,0.22,0.3,0.41,0.19,-0.09,-0.03,0.13,-0.01,0.07,0.03,0.26,0.05,0.42,0.33,-0.18,0.29,0.17,-0.09,0.22
SET,-0.24,-0.36,-0.17,0.09,-0.08,-0.17,-0.17,-0.3,-0.17,-0.04,0.04,0.19,-0.23,-0.2,-0.01,-0.22,-0.19,-0.22,0.11
SETD1A,-0.51,-0.32,0.13,-0.12,0.21,-0.02,0.1,-0.17,-0.42,-0.33,0.28,0.57,0.11,0.04,-0.01,-0.11,0,-0.12,0.33
SETD2,0.05,NA,0.87,0.92,0.22,0.22,0.15,1,-0.01,0.11,0.74,-0.02,1.38,NA,-0.24,0.88,0.12,0.59,NA
SETD3,0.48,0.47,0.34,0.28,0.21,0.38,0.38,0.42,0.27,0.18,0.27,0.03,0.32,0.18,0.12,0.34,0.41,0.46,-0.21
SETD7,-0.59,-0.75,-0.21,0.11,-0.35,-0.43,-0.31,-0.31,-0.21,-0.53,0.16,0.33,-0.03,-0.18,-0.14,0.24,-0.68,-0.25,-0.02
SETD9,-0.06,0.68,0.53,0.05,-0.15,0.58,0.43,0.7,0.4,-0.38,0.24,-0.3,0.81,0.12,0.26,0.04,0.35,0.41,-0.23
SETDB1,-0.13,0.11,-0.62,0.17,0.39,0.06,-0.14,0.04,0.05,0.11,-0.38,0.66,-0.39,0.09,0.33,0.11,0.25,0.01,0.54
SETMAR,0.11,0.03,-0.25,-0.31,0.34,0.11,0.18,-0.3,0.26,0.34,-0.18,0.51,-0.5,0.04,0.09,-0.3,-0.05,0.19,0.51
SETX,-0.03,0.07,-0.12,0.06,-0.23,-0.84,-0.91,0.15,-0.14,0.04,-0.28,-0.35,-0.16,-0.14,-0.57,-0.04,0,-0.35,0.4
SEZ6L2,0.59,NA,0.03,-0.49,NA,0.14,-0.43,-0.62,0.15,0.81,-0.03,0.08,0.07,NA,-1.22,-0.52,NA,-0.01,NA
SF1,-0.36,-0.14,-0.22,0.03,-0.03,-0.14,-0.07,-0.2,-0.34,-0.13,0.12,0.17,-0.27,-0.1,-0.1,-0.14,-0.18,-0.14,0.3
SF3A1,-0.06,-0.02,-0.1,0.01,0.17,-0.22,-0.06,-0.18,-0.08,-0.11,0.18,0.41,-0.21,-0.06,0.09,0.01,-0.21,-0.16,0.28
SF3A2,-0.04,0.05,-0.06,0.17,0.25,-0.16,0.08,0.01,-0.04,-0.11,0.12,0.35,-0.09,-0.08,0.01,0.18,-0.16,-0.05,0.41
SF3A3,-0.1,0.03,-0.02,0.02,0.26,-0.04,0.02,0.03,-0.11,0.06,0.04,0.28,-0.18,-0.03,-0.02,0.11,-0.13,-0.07,0.27
SF3B1,-0.03,0.05,0.03,0.05,0.28,-0.07,0.08,-0.09,-0.12,0.1,0.04,0.34,-0.05,0.05,0.12,0.04,-0.06,-0.06,0.42
SF3B2,-0.05,-0.04,-0.06,0.12,0.19,-0.06,0.05,-0.06,-0.1,-0.05,0.18,0.32,-0.01,-0.1,0.1,0.07,-0.06,-0.01,0.29
SF3B3,-0.2,-0.16,-0.13,0.01,0.28,-0.02,-0.05,-0.11,-0.24,0.08,0.03,0.22,-0.13,-0.16,0,-0.1,-0.07,-0.13,0.19
SF3B4,-0.03,-0.12,-0.05,0.14,0.21,-0.14,-0.03,-0.16,-0.17,-0.08,0.22,0.29,-0.21,-0.3,0.1,-0.03,-0.14,0.04,0.27
SF3B5,-0.1,0.19,-0.11,0.01,-0.02,-0.16,-0.06,-0.08,0.22,-0.2,0.2,0.36,-0.05,0.24,0.13,0.1,-0.2,-0.26,0.22
SF3B6,-0.33,0.01,-0.02,0.08,0.22,-0.2,-0.01,-0.23,-0.18,-0.22,0.13,0.49,-0.07,-0.04,0.17,0.02,-0.21,-0.24,0.41
SFMBT1,-0.73,NA,0.65,NA,NA,0.75,0.53,NA,-0.61,-1.14,0.43,0.1,1.15,NA,-0.48,NA,NA,0.68,NA
SFN,-1.23,-0.56,-1.21,-0.91,0.9,0.09,-0.39,-1.72,-1.11,-1.14,-0.97,-0.38,-1.51,-0.39,-1.23,-1.81,-0.71,-0.32,0.01
SFPQ,0,0.13,-0.01,0.16,0.31,0.01,0.18,-0.07,-0.04,0.06,0.27,0.55,-0.08,0,0.28,0.1,-0.04,0.07,0.4
SFRP1,-0.53,0.29,0.52,1.65,1.77,0.26,-0.97,-1.48,-0.8,-0.89,1.51,0.61,0.74,0.5,0.74,0.36,0.32,-0.68,1.6
SFSWAP,-0.22,0.48,0.38,0.52,-0.02,-0.48,-0.48,-0.04,-0.04,-0.13,0.5,0.27,0.52,0.47,-0.08,0.31,-0.38,-0.59,1.1
SFT2D3,NA,0.25,0.47,0.09,NA,0.26,-0.54,0.54,NA,NA,0.06,-0.23,0,0.26,0.19,-1.15,NA,0.53,0.01
SFXN1,0.71,0.86,0.61,0.08,-0.89,0.85,0.39,0.91,0.46,0.5,-0.31,-1.47,0.61,0.32,-0.41,0.32,0.48,0.73,-1.14
SFXN2,1.38,0.66,0.87,0.57,-1.02,1.75,0.79,1.47,0.62,1.03,0.04,-1.79,1.08,0.67,0.02,0.57,0.76,1.45,-1.07
SFXN3,-0.04,0.08,0.08,-0.1,-0.05,0.51,-0.02,0.39,0.06,0.23,-0.41,-0.48,0.28,0.08,-0.69,-0.27,0.22,0.36,-0.11
SFXN4,0.45,0.72,0.08,0.13,-0.16,0.76,0.24,0.61,0.34,0.52,-0.13,-0.68,0.42,0.34,-0.06,0.37,0.62,0.59,-0.46
SFXN5,0.49,0.87,0.8,0.53,-0.27,1.02,0.75,0.89,0.47,0.62,0.03,-0.87,0.86,0.51,0.05,0.42,0.5,0.7,-0.75
SGCD,-0.11,-0.14,0.19,NA,0.18,-0.2,-0.07,NA,0.61,-0.27,0.2,NA,0.41,0.53,NA,NA,0.33,-0.22,1.3
SGF29,-0.58,0.13,0.32,-0.27,-0.08,-0.53,-0.29,-1.15,-0.35,-0.53,0.17,0.19,-0.42,0.31,0.02,-0.6,-0.74,-0.36,0.55
SGK2,0.65,0.5,0.63,0.14,-0.66,0.09,0.08,0.43,0.71,0.05,0.14,-0.37,0.63,0.14,0.1,0.35,0.26,0.33,-0.63
SGK3,-0.32,0.28,0.19,0.15,-0.29,0.25,0.11,0.44,-0.26,-0.46,-0.26,-0.4,0.05,-0.07,-0.52,0.16,0.13,0.43,-0.51
SGPL1,-0.11,0.03,0.24,-0.09,0.03,-0.28,-0.21,-0.16,-0.29,-0.25,-0.43,-0.15,0.09,0.1,0.04,-0.03,-0.02,-0.42,0.18
SGPP1,0.09,0.93,0.87,0.41,0.33,0.52,0.54,0.63,0.26,0.2,0.13,0.02,0.75,0.54,0.36,0.72,0.62,0.69,-0.1
SGSH,-0.61,0.54,-0.14,0.19,NA,0.21,0.35,0.64,-0.05,0.91,0.33,0.22,0.26,0.48,-0.42,0.6,NA,-0.03,-0.09
SGSM3,NA,-0.75,0.69,-0.28,-0.02,-0.16,-0.18,-0.1,NA,NA,0.64,-0.59,0.51,-0.36,-0.05,-0.31,0.15,-0.89,-0.02
SGTA,-0.26,-0.17,-0.15,-0.09,-0.17,-0.09,-0.11,-0.02,-0.28,-0.18,-0.09,0.05,-0.11,-0.19,0.1,0.09,-0.16,-0.11,-0.08
SH2B1,0.01,0.27,0.15,-0.21,-0.89,-0.21,-0.2,0.12,-0.17,-0.15,0.31,-0.1,0.16,0.07,0.18,0.12,-0.59,0.06,0.01
SH2D4A,-0.14,0.07,-0.15,-0.34,-0.07,-0.01,0.24,-0.03,-0.02,-0.25,0.27,-0.05,-0.04,-0.38,0.55,0.02,-0.25,-0.26,-0.03
SH3BGRL,-0.22,-0.3,-0.33,0.04,0.29,-0.34,-0.09,-0.38,-0.17,-0.05,0.46,0.34,-0.25,0,0.02,-0.22,-0.1,-0.18,0.39
SH3BGRL2,0.54,0.29,0.67,0.29,0.27,0.17,0.2,1.02,0.11,0.25,-0.01,0.33,0.17,-0.02,0.27,0.62,1.04,0.24,-0.09
SH3BGRL3,-0.68,-0.49,-0.23,-0.1,0.08,-0.4,-0.44,-0.74,-0.51,-0.33,-0.43,0.44,-0.46,-0.43,-0.26,-0.28,-0.41,-0.39,0.06
SH3BP1,-0.69,-0.68,-0.61,-0.02,0.15,-0.51,-0.78,-1.55,-0.49,-0.41,-0.09,0.61,-0.55,-0.35,-0.55,-1.14,-0.39,-0.48,0.8
SH3BP2,-0.1,-0.09,-0.21,0.12,-0.21,0.02,-0.23,0.09,-0.35,0.02,-0.08,0.33,-0.01,0.03,-0.16,0.03,0.24,0.14,0.02
SH3BP4,-0.67,-0.03,-0.07,-0.33,0.25,-0.27,-0.22,-0.34,-0.32,-0.36,-0.05,-0.09,0.01,-0.17,0.03,-0.36,-0.22,-0.18,0.12
SH3BP5,1.5,0.21,0.45,NA,0.8,NA,NA,NA,1.39,1.12,0.66,NA,1.04,-0.03,NA,NA,1.08,NA,-0.21
SH3BP5L,-0.61,-0.76,-0.98,-0.56,-0.37,-0.7,-0.64,-0.78,-0.47,-0.49,-0.49,-0.22,-0.83,-0.64,-0.47,-0.84,-1,-0.85,-0.43
SH3D19,0.61,0,0.19,0.6,0.03,0.41,0.18,0.08,0.12,0.1,0.26,0.45,0.18,0.08,0.15,-0.12,0.06,0.54,0.46
SH3GL1,0.03,-0.32,-0.39,-0.18,-0.37,-0.46,-0.53,-0.46,-0.14,-0.04,-0.47,0.04,-0.45,-0.37,-0.42,-0.49,-0.36,-0.4,0.01
SH3GL2,0.81,1.45,0.91,0.56,-0.52,0.86,0.71,0.94,0.91,0.56,0.43,-0.16,0.85,0.5,-0.13,0.85,1.15,1.06,-0.91
SH3GLB1,-0.35,-0.66,-0.29,-0.15,-0.29,-0.3,-0.31,-0.08,-0.35,-0.41,-0.42,-0.1,-0.46,-0.49,-0.22,-0.22,-0.54,-0.26,-0.19
SH3GLB2,-0.12,-0.03,-0.07,-0.08,-0.24,-0.2,0.02,-0.11,0,-0.22,0.35,0.24,-0.07,-0.12,0.64,0.02,-0.32,-0.11,0.08
SH3KBP1,-0.33,-0.61,-0.31,0.12,0.12,-0.38,-0.37,-0.39,-0.08,-0.18,-0.2,0.77,-0.53,-0.12,-0.52,-0.36,-0.51,-0.4,0.62
SH3PXD2A,-0.88,-0.13,NA,-0.44,0.51,-0.73,-0.6,-0.88,-0.57,-1.05,NA,0.22,NA,0.06,0.11,-1.02,0.48,-0.68,0.47
SH3PXD2B,-0.63,-0.58,-0.36,-0.32,-0.05,-0.61,-0.54,-0.68,-0.41,-0.77,0.05,0.46,-0.53,-0.1,0.04,-0.13,-0.34,-0.72,0.29
SH3RF1,0.04,0.8,0.14,0.27,1.26,0.3,0.58,0.39,0.08,0.29,0.16,-0.78,0.18,0.61,-0.64,0.35,1.04,0.31,0.29
SH3TC1,0.65,0.23,0,0.02,-0.14,0.43,-0.14,0.31,0.32,-0.06,-0.1,-0.53,0.32,0.06,-0.17,0.03,0.18,0.14,-0.29
SH3YL1,1,1.08,0.58,-0.29,0.06,0.82,0.52,1.04,0.17,1.11,-0.51,-2.54,0.41,0.7,-0.42,0.69,1.11,1.13,-0.85
SHANK2,0.17,0.28,0.15,-0.22,-0.01,0.09,0.25,0.38,0.13,-0.03,0.2,-1.02,0.34,0.29,-0.29,0.17,0.05,0.33,0.15
SHANK3,-0.06,0.18,-0.55,-0.11,-0.04,-0.18,-0.05,-0.09,-0.43,-0.08,-0.14,0.05,0.06,0.04,0.09,-0.1,0.14,0.12,-0.22
SHARPIN,0.07,0.99,-1.69,0.8,0.05,0.07,0.38,0.54,0.23,-0.05,-0.7,0.2,-1.29,1.15,0.26,0.78,0.17,0.2,1.49
SHB,1.2,0.77,1.16,0.55,2.04,0.97,1.36,0.73,0.65,0.65,1.3,0.4,1.53,1.06,1.13,1,1.55,1,0.73
